movieId,full title,genres,title,year,gross ($),# oscar nominations,golden globe,average rating,# ratings,imdb rating,rotten tomatoes rating,imdb link,tmdb link,corrected imdb link,condensed name
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story,1995,,3,0,3.907327586,232,,,114709,862,TT0114709,theToyStory
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,1995,,0,0,3.35326087,92,,,113497,8844,TT0113497,theJumanji
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,1995,,0,0,3.189655172,58,,,113228,15602,TT0113228,theGrumpierOldMen
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale,1995,,0,0,2.818181818,11,,,114885,31357,TT0114885,theWaitingtoExhale
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,1995,,0,0,3.25,62,,,113041,11862,TT0113041,theFatheroftheBridePartII
6,Heat (1995),Action|Crime|Thriller,Heat,1995,,0,0,4.073913043,115,,,113277,949,TT0113277,theHeat
7,Sabrina (1995),Comedy|Romance,Sabrina,1995,,7,0,3.381818182,55,,,114319,11860,TT0114319,theSabrina
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,1995,,0,0,3.666666667,3,,,112302,45325,TT0112302,theTomandHuck
9,Sudden Death (1995),Action,Sudden Death,1995,,0,0,2.869565217,23,,,114576,9091,TT0114576,theSuddenDeath
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,1995,,0,0,3.6,135,,,113189,710,TT0113189,theGoldenEye
11,"American President, The (1995)",Comedy|Drama|Romance,"American President, The",1995,,0,1,3.729411765,85,,,112346,9087,TT0112346,"theAmericanPresident,The"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It,1995,,0,0,2.825,20,,,112896,12110,TT0112896,theDracula:DeadandLovingIt
13,Balto (1995),Adventure|Animation|Children,Balto,1995,,0,0,3.4375,8,,,112453,21032,TT0112453,theBalto
14,Nixon (1995),Drama,Nixon,1995,,2,0,3.46,25,,,113987,10858,TT0113987,theNixon
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island,1995,,0,0,3.111111111,18,,,112760,1408,TT0112760,theCutthroatIsland
16,Casino (1995),Crime|Drama,Casino,1995,,0,0,3.785714286,84,,,112641,524,TT0112641,theCasino
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility,1995,,5,1,3.93,100,,,114388,4584,TT0114388,theSenseandSensibility
18,Four Rooms (1995),Comedy,Four Rooms,1995,,0,0,3.642857143,21,,,113101,5,TT0113101,theFourRooms
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls,1995,,0,0,2.642857143,91,,,112281,9273,TT0112281,theAceVentura:WhenNatureCalls
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Money Train,1995,,0,0,3.15625,16,,,113845,11517,TT0113845,theMoneyTrain
21,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty,1995,,0,1,3.490740741,108,,,113161,8012,TT0113161,theGetShorty
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,1995,,0,0,3.428571429,42,,,112722,1710,TT0112722,theCopycat
23,Assassins (1995),Action|Crime|Thriller,Assassins,1995,,0,0,3.145833333,24,,,112401,9691,TT0112401,theAssassins
24,Powder (1995),Drama|Sci-Fi,Powder,1995,,0,0,2.894736842,38,,,114168,12665,TT0114168,thePowder
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas,1995,,2,1,3.770114943,87,,,113627,451,TT0113627,theLeavingLasVegas
26,Othello (1995),Drama,Othello,1995,,0,0,3.75,14,,,114057,16420,TT0114057,theOthello
27,Now and Then (1995),Children|Drama,Now and Then,1995,,0,0,3.2,5,,,114011,9263,TT0114011,theNowandThen
28,Persuasion (1995),Drama|Romance,Persuasion,1995,,0,0,3.785714286,14,,,114117,17015,TT0114117,thePersuasion
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La)",1995,,0,0,4.233333333,45,,,112682,902,TT0112682,"theCityofLostChildren,The(Citédesenfantsperdus,La)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,,0,0,3.5,10,,,115012,37557,TT0115012,theShanghaiTriad(Yaoayaoyaodaowaipoqiao)
31,Dangerous Minds (1995),Drama,Dangerous Minds,1995,,0,0,3.170454545,44,,,112792,9909,TT0112792,theDangerousMinds
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys (a.k.a. 12 Monkeys),1995,,0,0,3.939613527,207,,,114746,63,TT0114746,theTwelveMonkeys(a.k.a.12Monkeys)
33,Wings of Courage (1995),Adventure|Romance|IMAX,Wings of Courage,1995,,0,0,2.5,1,,,114952,78802,TT0114952,theWingsofCourage
34,Babe (1995),Children|Drama,Babe,1995,,6,1,3.61627907,129,,,112431,9598,TT0112431,theBabe
35,Carrington (1995),Drama|Romance,Carrington,1995,,0,0,3,3,,,112637,47018,TT0112637,theCarrington
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,1995,,2,0,3.983333333,90,,,112818,687,TT0112818,theDeadManWalking
39,Clueless (1995),Comedy|Romance,Clueless,1995,,0,0,3.275510204,98,,,112697,9603,TT0112697,theClueless
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country",1995,,0,0,3.25,6,,,112749,34615,TT0112749,"theCry,theBelovedCountry"
41,Richard III (1995),Drama|War,Richard III,1995,,2,0,3.657894737,19,,,114279,31174,TT0114279,theRichardIII
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents,1995,,0,0,3.192307692,13,,,112819,11443,TT0112819,theDeadPresidents
